Segment,Billing_Class,Site_Billing_Status,Site_Status,Consumption,Value_Unbilled,Billing_Frequency,UnbilledDays,RootCause,Voice_Attempt,target
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.67,Q,1256,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,348.37,Q,1286,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,314.42,Q,1225,Impl Perm Est,,0
Medium Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,14917,675.12,Q,1175,Outsort,Voice Call Done,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1477,72.17,Q,1236,Outsort,Voice Call Done,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5016,22756.37,Q,,Implausible,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4546,268.15,Q,135,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4546,268.15,Q,135,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4828,296.82,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4828,296.82,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,282,108.8,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,251,90.8,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,251,90.8,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,282,108.8,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,251,90.8,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,6804,248.45,M,79,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Clean,11970,885.82,Q,146,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1024,37.45,Q,170,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1024,37.45,Q,170,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,6381,233.35,Q,140,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,6381,233.35,Q,140,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,100,73.5,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,100,73.5,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,111,93.97,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,111,93.97,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,100,73.5,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,97756,4578,Q,1405,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,97756,4578.1,Q,1405,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,98479,4626.07,Q,1435,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,97756,4578.1,Q,1405,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,98479,4626.07,Q,1435,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,97756,4578.1,Q,1405,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,268,104.65,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,257,87.43,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,268,104.65,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,257,87.43,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,14622,539.26,Q,144,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,81.5,Q,146,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,98.24,Q,176,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,81.5,Q,146,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,98.24,Q,176,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,81.5,Q,146,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9391,483.89,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9832,519.17,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9832,519.17,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9391,483.89,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9391,483.89,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12538,612.05,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12538,612.05,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2430,174.78,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2430,174.78,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2610,198.11,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2610,198.11,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,6226,340.14,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1066,137.67,Q,166,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1001,118.21,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1066,137.67,Q,166,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1001,118.21,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,0,Q,275,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,0,Q,275,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,0,Q,245,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,0,Q,245,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,0,Q,245,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,45.03,M,122,Lock -  Billing,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,45.03,M,122,Lock -  Billing,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,63,10673.28,M,,Lock -  Billing,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,43.81,M,152,Lock -  Billing,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,45.03,M,122,Lock -  Billing,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,43.81,M,152,Lock -  Billing,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,411,16.44,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,411,16.44,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,411,16.44,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,411,16.44,Q,195,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,411,16.44,Q,195,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,35648,1969.99,Q,305,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,36682,2039.95,Q,335,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,35648,1969,Q,305,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,35648,1969.99,Q,305,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,36682,2039.95,Q,335,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,9072,457.26,Q,129,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3561,636.97,Q,1199,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3593,659.9,Q,1229,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3593,659.9,Q,1229,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3561,636.97,Q,1199,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3561,636.97,Q,1199,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,14380,567.58,Q,128,Lost Site,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2143,173.23,Q,149,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4669,327.93,Q,156,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4669,327.93,Q,156,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,74.72,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,90.39,Q,173,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,74.72,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,74.72,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,90.39,Q,173,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Clean,7724,459.27,Q,134,No Root Cause Match,,1
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,992,39.68,Q,422,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,992,39.68,Q,392,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,992,39.68,Q,392,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,992,39.68,Q,422,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,992,39.68,Q,392,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,17212,810.41,Q,152,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,17212,810.41,Q,152,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,759,89.92,M,169,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,793,111.48,M,199,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,759,89.92,M,169,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,793,111.48,M,199,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,759,89.92,M,169,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,683,2465.99,M,,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11959,589.44,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6192,673.05,Q,1055,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6192,673.05,Q,1055,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6161,655.93,Q,1025,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6161,655.93,Q,1025,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6161,655.93,Q,1025,Impl Perm Est,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,1917,183.28,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,1917,183.28,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Not assigned,2929,117.1,Q,1724,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Not assigned,2948,117.88,Q,1754,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Not assigned,2929,117.1,Q,1724,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Not assigned,2929,117.1,Q,1724,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Not assigned,2948,117.88,Q,1754,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,38291,1894.73,Q,486,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,38291,1894.73,Q,486,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,37407,1840.63,Q,456,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,37407,1840,Q,456,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,37407,1840.63,Q,456,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33,79.19,Q,141,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,94.34,Q,171,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33,79.19,Q,141,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33,79.19,Q,141,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,94.34,Q,171,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,119.27,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,119.27,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,119.27,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,155.78,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,155.78,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,270.8,M,198,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,270.8,M,198,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,0,98.87,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,13564,668.47,M,73,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,15652,792.15,M,103,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,15652,792.15,M,103,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,4871,236.65,Q,57,No Root Cause Match,,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,15542,716.18,Q,140,Implausible,,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,11,245.98,Q,2056,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,5704,229.47,Q,163,Business Exception,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,5704,229.47,Q,163,Business Exception,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,5704,229.47,Q,163,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,5704,229.47,Q,193,Business Exception,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,5704,229.47,Q,193,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,325,78.61,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,47971,2480.33,Q,953,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,47971,2480,Q,953,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,48406,2515.67,Q,983,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,47971,2480.33,Q,953,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,48406,2515.67,Q,983,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1954,185.06,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1859,163.42,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1859,163.42,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1954,185.06,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1859,163.42,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,189,100.67,M,73,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,125.35,M,103,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,125.35,M,103,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,21890,1013.48,Q,151,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,28051,1325.72,Q,242,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,26910,1260,Q,212,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,28051,1325.72,Q,242,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,26910,1260.58,Q,212,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,26910,1260.58,Q,212,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,48.42,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,48.42,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,926,125.54,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,864,107.23,Q,135,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,864,107.23,Q,135,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,926,125.54,Q,165,No Root Cause Match,,0
Medium Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,1254,124.47,Q,128,Implausible,Voice Call Done,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Clean,261047,11135.62,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,94.89,Q,172,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,94.89,Q,172,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,94.89,Q,172,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,111.44,Q,202,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,111.44,Q,202,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12980,646.85,Q,172,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12196,596.86,Q,142,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12980,646.85,Q,172,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12196,596.86,Q,142,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12196,596.86,Q,142,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,410,16.41,Q,165,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,18246,846.49,Q,160,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,17206,786.95,Q,130,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,18246,846.49,Q,160,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,20300,861.94,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,20300,861.94,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,20300,861.94,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,18.36,Q,145,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4841,275.53,Q,138,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,8475,429.68,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,85.7,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,85.7,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,102.4,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,85.7,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,81.54,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,44714,1845.93,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,44714,1845.93,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,878,130.22,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,815,110.84,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,878,130.22,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,815,110.84,Q,137,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,8224,499.22,Q,137,Implausible,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,37.73,M,31,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,186.26,Q,151,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,186.26,Q,151,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12729,605.75,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11837,570.36,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11837,570.36,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,16828,925.86,Q,136,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,694,2750.59,Q,,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4170,556.41,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4421,646.08,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4170,556.41,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,77.35,Q,139,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5214,302.76,Q,144,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5214,302.76,Q,144,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5526,332.81,Q,174,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5214,302.76,Q,144,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,31,2.43,M,2,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,31,2.43,M,2,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,31,2.43,M,2,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,36651,1633.54,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,32700,1482.36,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,36651,1633.54,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,4972,351.75,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11,22.43,Q,143,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,266,4277.8,Q,,Implausible,,1
Small Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,455,33.65,Q,208,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.44,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.44,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.44,Q,144,No Root Cause Match,,0
